Sample	int48	int3	int88	int37	int8	int42	int22	int73	int98	int25	int28	int34	int6	int85	int76	int95	int92	int20	int51	int33	int79	int41	int83	int93	int71	int13	int99	int23	int75	int86	int68	int17	int84	int30	int65	int57	int67	int54	int9	int7	int27	int39	int82	int38	int58	int100	int12	int47	int53	int10	int72	int97	int74	int49	int64	int5	int78	int36	int81	int11	int24	int21	int55	int62	int56	int46	int29	int1	int94	int50	int90	int63	int66	int35	int15	int31	int26	int4	int14	int40	int77	int89	int43	int91	int52	int69	int19	int87	int44	int61	int2	int70	int18	int60	int45	int32	int16	int80	int59	int96	discrete48	discrete3	discrete88	discrete37	discrete8	discrete42	discrete22	discrete73	discrete98	discrete25	discrete28	discrete34	discrete6	discrete85	discrete76	discrete95	discrete92	discrete20	discrete51	discrete33	discrete79	discrete41	discrete83	discrete93	discrete71	discrete13	discrete99	discrete23	discrete75	discrete86	discrete68	discrete17	discrete84	discrete30	discrete65	discrete57	discrete67	discrete54	discrete9	discrete7	discrete27	discrete39	discrete82	discrete38	discrete58	discrete100	discrete12	discrete47	discrete53	discrete10	discrete72	discrete97	discrete74	discrete49	discrete64	discrete5	discrete78	discrete36	discrete81	discrete11	discrete24	discrete21	discrete55	discrete62	discrete56	discrete46	discrete29	discrete1	discrete94	discrete50	discrete90	discrete63	discrete66	discrete35	discrete15	discrete31	discrete26	discrete4	discrete14	discrete40	discrete77	discrete89	discrete43	discrete91	discrete52	discrete69	discrete19	discrete87	discrete44	discrete61	discrete2	discrete70	discrete18	discrete60	discrete45	discrete32	discrete16	discrete80	discrete59	discrete96
s57	79	36	67	29	48	71	94	49	69	99	90	81	51	72	42	86	22	67	27	42	25	58	63	51	58	48	44	65	72	58	48	8	95	35	41	35	79	35	86	82	38	27	6	93	69	82	49	77	87	56	74	93	46	14	11	30	1	97	67	77	87	86	34	90	58	10	96	20	67	74	63	60	13	0	86	23	49	67	39	31	83	32	95	66	6	59	18	70	80	80	42	0	90	98	4	20	3	68	2	25	cold	warm	lukewarm	lukewarm	cold	warm	cold	cold	lukewarm	hot	hot	lukewarm	warm	cold	warm	warm	warm	hot	warm	hot	cold	warm	cold	warm	lukewarm	hot	lukewarm	cold	lukewarm	warm	hot	cold	cold	hot	hot	warm	cold	warm	hot	cold	hot	cold	hot	hot	hot	hot	warm	hot	cold	cold	hot	lukewarm	warm	warm	lukewarm	lukewarm	lukewarm	lukewarm	cold	warm	warm	warm	hot	hot	cold	warm	hot	warm	hot	lukewarm	lukewarm	hot	cold	hot	hot	hot	hot	warm	cold	lukewarm	warm	warm	lukewarm	cold	hot	cold	warm	cold	cold	cold	lukewarm	cold	hot	lukewarm	cold	cold	lukewarm	warm	hot	lukewarm
s58	9	84	37	28	57	10	58	6	75	94	3	49	100	78	4	29	41	65	20	37	21	40	35	91	2	54	41	51	84	67	69	25	32	86	38	66	15	57	26	75	86	12	30	24	64	87	38	39	52	18	61	44	34	10	42	85	37	14	90	6	10	79	62	53	32	42	14	9	78	27	16	48	94	13	94	75	0	50	45	32	76	26	64	46	58	3	25	78	31	7	29	57	86	60	19	42	89	73	47	28	hot	warm	cold	lukewarm	cold	hot	cold	lukewarm	warm	cold	warm	lukewarm	hot	lukewarm	hot	lukewarm	warm	cold	cold	warm	cold	warm	hot	cold	cold	lukewarm	hot	cold	cold	warm	hot	hot	cold	cold	cold	warm	lukewarm	cold	hot	lukewarm	warm	lukewarm	cold	warm	hot	hot	cold	warm	cold	lukewarm	hot	hot	lukewarm	lukewarm	hot	hot	cold	cold	hot	cold	warm	cold	cold	warm	cold	hot	hot	warm	warm	cold	lukewarm	cold	hot	hot	cold	lukewarm	warm	hot	hot	warm	cold	lukewarm	warm	hot	lukewarm	lukewarm	cold	cold	warm	cold	warm	warm	cold	warm	cold	lukewarm	lukewarm	lukewarm	hot	hot
s59	94	65	13	32	87	97	35	14	92	55	97	51	62	30	51	37	22	61	82	78	41	56	25	75	9	59	94	90	56	31	75	22	31	52	74	44	56	0	98	69	13	92	47	26	54	57	35	72	41	63	17	5	7	96	31	58	21	16	6	72	75	56	10	55	14	52	87	74	61	88	31	83	87	3	21	76	6	52	19	27	17	63	74	68	22	31	37	17	25	46	5	38	23	81	68	29	70	87	74	58	warm	warm	cold	warm	hot	cold	lukewarm	warm	hot	warm	hot	hot	cold	lukewarm	warm	lukewarm	warm	warm	warm	hot	hot	hot	cold	hot	warm	cold	warm	warm	hot	cold	warm	cold	cold	cold	lukewarm	hot	hot	cold	cold	lukewarm	lukewarm	hot	lukewarm	lukewarm	warm	hot	hot	cold	cold	cold	hot	cold	hot	hot	cold	lukewarm	warm	warm	hot	warm	cold	cold	warm	cold	cold	hot	hot	cold	cold	lukewarm	cold	hot	hot	hot	warm	cold	lukewarm	cold	lukewarm	warm	cold	lukewarm	lukewarm	hot	cold	warm	lukewarm	hot	lukewarm	lukewarm	warm	warm	lukewarm	hot	warm	warm	warm	cold	hot	cold
s60	27	17	28	4	10	81	31	87	50	97	40	80	43	61	9	86	41	6	95	92	76	52	43	89	76	55	23	38	6	14	63	11	66	8	90	76	90	63	31	48	49	87	79	15	54	84	100	82	10	32	9	6	76	6	20	32	53	5	38	91	64	65	95	7	53	53	31	1	5	51	29	21	20	19	29	64	87	36	29	0	38	73	97	61	42	51	23	76	96	76	36	60	78	8	19	35	83	31	19	73	warm	cold	cold	cold	cold	cold	warm	warm	lukewarm	cold	cold	lukewarm	cold	warm	hot	warm	hot	warm	warm	lukewarm	lukewarm	hot	hot	lukewarm	hot	warm	warm	cold	hot	hot	hot	warm	hot	warm	lukewarm	cold	lukewarm	lukewarm	warm	cold	cold	warm	cold	warm	cold	hot	warm	lukewarm	hot	lukewarm	cold	warm	warm	hot	lukewarm	warm	hot	cold	hot	lukewarm	lukewarm	lukewarm	lukewarm	hot	lukewarm	lukewarm	cold	warm	cold	warm	cold	hot	hot	cold	lukewarm	warm	lukewarm	lukewarm	warm	lukewarm	hot	lukewarm	cold	cold	cold	lukewarm	cold	hot	cold	cold	lukewarm	cold	cold	cold	warm	hot	hot	warm	hot	hot
s61	27	80	84	72	91	98	28	5	1	54	74	56	35	66	32	59	70	53	51	24	35	52	65	82	29	70	6	61	3	25	7	35	48	30	23	61	46	17	100	39	88	100	61	54	53	23	95	48	7	27	68	2	30	12	79	50	23	35	26	0	92	74	98	31	43	28	45	96	6	15	58	43	40	87	99	80	59	31	7	100	6	94	2	36	14	96	24	78	82	42	22	92	9	42	73	66	49	57	60	95	lukewarm	warm	warm	warm	lukewarm	hot	lukewarm	warm	warm	warm	lukewarm	warm	cold	cold	lukewarm	lukewarm	cold	warm	lukewarm	warm	warm	lukewarm	lukewarm	cold	hot	lukewarm	warm	cold	warm	cold	hot	hot	lukewarm	hot	hot	cold	lukewarm	warm	cold	hot	hot	warm	cold	warm	hot	lukewarm	lukewarm	cold	warm	lukewarm	hot	cold	cold	warm	cold	cold	warm	warm	lukewarm	lukewarm	warm	hot	lukewarm	warm	lukewarm	hot	warm	cold	cold	cold	hot	lukewarm	cold	warm	lukewarm	cold	lukewarm	cold	hot	hot	cold	cold	hot	lukewarm	warm	hot	lukewarm	cold	cold	cold	lukewarm	warm	hot	warm	warm	cold	hot	lukewarm	lukewarm	cold
s62	93	98	66	28	7	90	66	89	76	33	4	12	12	9	96	54	71	12	68	62	39	61	52	42	32	63	94	28	63	78	55	9	36	96	76	12	57	87	33	41	17	2	71	97	3	92	28	36	72	96	30	99	72	72	68	18	41	69	66	67	3	84	61	2	36	80	59	71	66	14	26	63	96	26	3	36	36	64	42	11	16	63	44	37	35	48	95	69	85	99	3	46	72	3	4	19	22	57	4	52	cold	hot	lukewarm	lukewarm	warm	hot	cold	warm	cold	warm	warm	lukewarm	hot	cold	cold	warm	lukewarm	lukewarm	lukewarm	cold	warm	cold	lukewarm	lukewarm	hot	lukewarm	cold	hot	cold	warm	lukewarm	lukewarm	cold	lukewarm	hot	hot	cold	cold	lukewarm	hot	cold	cold	warm	warm	lukewarm	hot	cold	cold	warm	cold	warm	lukewarm	cold	cold	lukewarm	hot	hot	warm	warm	warm	lukewarm	warm	cold	lukewarm	lukewarm	lukewarm	cold	warm	cold	warm	warm	hot	hot	lukewarm	cold	cold	warm	hot	hot	hot	warm	hot	lukewarm	warm	lukewarm	hot	lukewarm	cold	cold	hot	hot	lukewarm	hot	cold	lukewarm	lukewarm	lukewarm	cold	cold	hot
s63	16	15	55	59	15	44	42	38	55	43	73	1	19	10	67	24	68	34	3	47	93	86	35	80	62	1	100	17	22	99	35	88	70	91	44	84	10	100	33	70	43	4	19	79	99	22	76	55	26	62	37	14	37	74	55	59	78	89	31	82	33	87	74	56	73	98	22	64	95	42	93	14	31	84	80	79	47	36	43	49	81	1	98	88	11	13	44	95	8	36	36	94	30	59	50	36	82	41	51	37	lukewarm	lukewarm	lukewarm	hot	warm	lukewarm	hot	warm	cold	cold	warm	cold	warm	cold	warm	cold	lukewarm	warm	hot	lukewarm	hot	hot	hot	warm	hot	lukewarm	lukewarm	cold	warm	lukewarm	hot	lukewarm	cold	warm	warm	hot	hot	warm	cold	warm	cold	warm	hot	cold	cold	hot	lukewarm	warm	warm	hot	lukewarm	hot	warm	lukewarm	warm	lukewarm	lukewarm	lukewarm	cold	lukewarm	cold	lukewarm	warm	lukewarm	hot	warm	lukewarm	warm	hot	lukewarm	warm	cold	hot	lukewarm	hot	warm	hot	cold	hot	lukewarm	warm	warm	hot	cold	warm	hot	cold	warm	hot	warm	cold	hot	warm	warm	lukewarm	lukewarm	cold	lukewarm	lukewarm	warm
s64	42	12	34	95	17	31	22	44	27	46	33	53	21	97	96	84	1	22	58	26	71	14	73	84	35	84	42	66	29	45	33	1	19	19	42	84	90	69	35	4	90	35	24	95	79	67	99	9	42	72	49	8	80	69	90	67	62	44	29	27	85	73	73	67	82	55	17	14	56	17	34	34	28	20	10	26	24	1	0	34	59	8	97	80	96	78	84	43	85	0	0	14	40	51	60	19	48	17	73	11	warm	warm	hot	hot	hot	lukewarm	cold	cold	hot	warm	cold	hot	warm	warm	lukewarm	warm	warm	warm	hot	hot	cold	hot	cold	warm	lukewarm	cold	cold	hot	lukewarm	lukewarm	cold	cold	lukewarm	lukewarm	cold	warm	warm	cold	lukewarm	hot	lukewarm	hot	warm	warm	hot	warm	cold	warm	cold	cold	hot	hot	hot	hot	hot	hot	cold	cold	lukewarm	warm	cold	cold	cold	hot	warm	hot	lukewarm	hot	hot	lukewarm	lukewarm	lukewarm	hot	lukewarm	hot	warm	warm	hot	warm	lukewarm	lukewarm	cold	hot	hot	lukewarm	lukewarm	lukewarm	warm	hot	warm	hot	warm	hot	cold	warm	hot	cold	hot	hot	cold
s65	39	77	7	82	93	29	9	41	74	46	38	37	55	71	23	89	87	80	95	48	22	100	23	51	84	77	3	60	16	88	11	37	31	74	25	13	94	68	72	69	40	91	62	39	65	76	71	73	86	10	17	88	98	70	51	7	99	78	22	67	18	95	61	62	58	71	32	98	74	59	3	58	24	76	71	26	62	86	10	78	74	13	19	8	98	44	15	14	90	0	59	58	49	64	77	89	65	45	70	55	warm	hot	warm	lukewarm	hot	warm	cold	hot	cold	lukewarm	hot	warm	hot	warm	lukewarm	hot	cold	lukewarm	warm	lukewarm	hot	cold	lukewarm	lukewarm	hot	lukewarm	warm	cold	lukewarm	hot	cold	hot	hot	cold	hot	warm	cold	hot	lukewarm	cold	warm	lukewarm	lukewarm	warm	cold	cold	warm	hot	lukewarm	cold	warm	warm	cold	hot	warm	hot	hot	cold	hot	cold	hot	cold	lukewarm	cold	hot	hot	lukewarm	lukewarm	warm	lukewarm	hot	lukewarm	lukewarm	warm	hot	lukewarm	warm	cold	lukewarm	hot	warm	hot	warm	hot	hot	hot	cold	hot	hot	lukewarm	warm	warm	cold	hot	lukewarm	hot	lukewarm	warm	cold	lukewarm
s66	11	100	70	93	25	94	77	21	73	60	19	47	46	22	2	43	47	76	90	4	51	56	31	21	14	25	44	77	12	19	81	55	76	54	7	76	80	63	15	50	81	19	24	95	48	29	90	92	96	92	10	75	0	31	51	29	70	95	82	61	60	22	43	24	59	52	33	74	90	83	35	69	54	6	65	4	90	78	43	50	78	27	27	66	6	64	41	77	27	44	57	49	62	22	100	10	13	35	17	77	hot	lukewarm	lukewarm	cold	cold	lukewarm	lukewarm	lukewarm	warm	lukewarm	lukewarm	lukewarm	warm	warm	hot	hot	lukewarm	lukewarm	cold	lukewarm	warm	lukewarm	warm	lukewarm	cold	lukewarm	cold	lukewarm	cold	warm	cold	lukewarm	hot	hot	warm	cold	lukewarm	hot	warm	hot	hot	cold	cold	warm	hot	warm	warm	warm	cold	cold	cold	hot	lukewarm	cold	warm	cold	lukewarm	cold	lukewarm	warm	lukewarm	hot	hot	cold	warm	lukewarm	cold	lukewarm	warm	cold	hot	hot	hot	lukewarm	lukewarm	lukewarm	cold	cold	hot	lukewarm	warm	cold	lukewarm	hot	lukewarm	cold	hot	cold	warm	lukewarm	lukewarm	cold	lukewarm	warm	hot	hot	warm	hot	warm	cold
s67	64	97	0	86	61	23	38	96	46	100	28	50	4	85	40	47	70	22	35	9	9	44	82	98	87	3	48	4	57	37	15	83	94	5	31	68	74	63	69	27	25	100	41	51	60	10	64	79	72	59	84	99	26	83	68	66	45	13	6	70	88	33	4	61	40	28	38	31	93	12	58	52	37	83	9	49	99	84	54	82	80	53	90	73	36	62	37	27	43	1	76	14	64	50	35	12	17	40	77	11	lukewarm	hot	cold	lukewarm	hot	hot	warm	hot	hot	cold	warm	hot	warm	cold	hot	cold	cold	warm	cold	warm	lukewarm	warm	lukewarm	hot	hot	cold	warm	hot	hot	warm	hot	cold	hot	warm	hot	hot	warm	lukewarm	lukewarm	warm	hot	lukewarm	warm	warm	hot	lukewarm	cold	cold	lukewarm	warm	lukewarm	warm	lukewarm	warm	warm	cold	cold	warm	cold	lukewarm	lukewarm	cold	lukewarm	hot	hot	lukewarm	lukewarm	lukewarm	cold	hot	warm	cold	warm	warm	hot	hot	hot	warm	hot	cold	lukewarm	hot	lukewarm	warm	warm	lukewarm	warm	warm	lukewarm	warm	cold	lukewarm	lukewarm	lukewarm	lukewarm	hot	lukewarm	lukewarm	lukewarm	hot
s68	3	59	65	49	2	59	54	100	80	17	31	9	63	67	30	80	99	8	6	47	71	24	91	32	5	88	87	34	92	60	11	56	20	73	51	37	25	62	55	69	46	73	5	88	44	53	68	67	42	92	5	47	1	23	90	7	56	79	47	69	97	14	95	45	83	71	96	54	8	72	29	0	81	72	76	35	82	20	7	8	99	5	86	67	92	87	85	75	38	43	49	98	6	82	63	84	97	77	73	95	cold	hot	warm	hot	warm	hot	hot	lukewarm	warm	cold	warm	cold	warm	cold	cold	cold	warm	cold	lukewarm	hot	lukewarm	hot	hot	cold	warm	warm	lukewarm	hot	warm	lukewarm	lukewarm	cold	warm	warm	hot	cold	cold	warm	cold	warm	cold	hot	lukewarm	hot	cold	hot	cold	hot	cold	hot	warm	warm	cold	warm	cold	lukewarm	lukewarm	cold	lukewarm	warm	cold	hot	hot	cold	lukewarm	cold	warm	lukewarm	warm	warm	warm	lukewarm	cold	hot	warm	hot	cold	cold	lukewarm	hot	lukewarm	cold	cold	lukewarm	lukewarm	cold	warm	hot	cold	lukewarm	lukewarm	hot	lukewarm	warm	warm	cold	warm	lukewarm	warm	cold
s69	28	50	11	8	7	6	47	83	52	13	37	49	26	18	0	20	35	52	16	11	47	77	23	26	41	92	12	41	35	6	94	36	88	59	13	65	34	21	62	87	70	64	18	32	2	85	18	85	8	95	51	6	65	27	93	17	53	15	72	95	18	12	89	81	74	38	59	23	65	2	10	39	71	0	15	70	74	38	38	44	25	21	14	34	9	23	94	49	24	31	21	85	58	17	40	32	94	7	37	97	warm	warm	warm	lukewarm	cold	hot	warm	lukewarm	lukewarm	warm	cold	hot	warm	cold	hot	lukewarm	cold	cold	warm	cold	lukewarm	warm	cold	lukewarm	cold	lukewarm	cold	cold	cold	warm	warm	cold	lukewarm	hot	warm	lukewarm	hot	hot	warm	warm	cold	hot	cold	lukewarm	cold	cold	hot	warm	lukewarm	warm	warm	hot	warm	cold	lukewarm	hot	lukewarm	lukewarm	lukewarm	lukewarm	hot	lukewarm	warm	hot	hot	lukewarm	warm	warm	lukewarm	warm	lukewarm	warm	warm	hot	cold	cold	lukewarm	hot	cold	warm	warm	cold	warm	hot	warm	hot	lukewarm	hot	lukewarm	hot	warm	cold	cold	cold	hot	lukewarm	cold	hot	lukewarm	cold
s70	93	32	70	51	88	51	76	35	19	10	50	46	83	37	45	46	37	32	88	84	83	89	69	33	43	62	57	87	52	33	12	41	3	28	10	61	19	37	39	79	10	89	10	79	63	32	75	42	20	83	74	64	16	41	98	55	73	98	88	73	44	4	59	6	19	43	48	33	70	47	67	44	80	83	73	72	39	59	50	4	44	7	26	53	98	97	90	31	82	19	42	13	65	56	74	0	87	73	79	53	hot	cold	warm	hot	warm	hot	warm	cold	hot	hot	warm	cold	warm	cold	warm	hot	lukewarm	warm	warm	cold	cold	warm	cold	cold	warm	hot	warm	warm	lukewarm	cold	warm	warm	lukewarm	cold	hot	warm	lukewarm	cold	cold	lukewarm	cold	cold	cold	cold	cold	hot	lukewarm	lukewarm	warm	hot	hot	hot	hot	cold	warm	lukewarm	cold	warm	lukewarm	hot	hot	hot	lukewarm	warm	cold	cold	lukewarm	cold	hot	lukewarm	warm	lukewarm	lukewarm	warm	cold	lukewarm	warm	hot	lukewarm	lukewarm	cold	lukewarm	hot	warm	warm	warm	lukewarm	hot	warm	cold	warm	warm	lukewarm	cold	warm	cold	warm	cold	warm	cold
s71	42	75	40	35	22	44	11	42	74	50	68	26	82	0	76	52	64	92	31	58	90	31	80	46	96	51	59	7	38	28	66	93	51	78	35	63	90	68	29	99	28	31	0	79	20	44	79	13	100	66	2	26	86	24	31	89	68	90	58	47	43	42	51	58	74	50	34	30	83	98	64	54	71	53	7	0	71	52	0	91	68	12	46	82	55	99	84	54	68	27	40	84	29	7	64	90	83	51	40	85	hot	warm	cold	warm	hot	warm	warm	cold	hot	cold	lukewarm	hot	hot	hot	warm	hot	warm	lukewarm	cold	warm	lukewarm	lukewarm	hot	cold	warm	hot	hot	hot	hot	lukewarm	lukewarm	cold	cold	cold	hot	warm	cold	lukewarm	hot	warm	cold	warm	lukewarm	hot	cold	cold	hot	lukewarm	warm	warm	lukewarm	warm	lukewarm	warm	lukewarm	lukewarm	lukewarm	lukewarm	lukewarm	warm	lukewarm	cold	cold	warm	warm	lukewarm	warm	warm	warm	warm	warm	hot	hot	lukewarm	warm	lukewarm	warm	warm	hot	lukewarm	warm	warm	cold	cold	hot	warm	lukewarm	lukewarm	hot	cold	hot	cold	lukewarm	cold	lukewarm	hot	lukewarm	warm	lukewarm	lukewarm
s72	42	19	60	85	51	35	45	22	14	16	44	12	59	100	49	56	42	84	2	32	97	5	78	89	45	6	60	41	50	19	87	67	30	9	48	87	22	25	28	88	35	88	6	16	38	98	36	16	15	40	51	72	98	28	71	19	23	30	15	38	91	70	65	37	37	69	86	42	15	91	40	70	43	38	19	29	37	65	98	76	42	83	99	35	24	60	32	49	79	98	83	19	28	92	41	45	74	10	57	77	hot	warm	hot	warm	warm	lukewarm	cold	hot	warm	cold	lukewarm	cold	lukewarm	cold	hot	lukewarm	hot	warm	warm	cold	warm	hot	warm	warm	lukewarm	hot	lukewarm	lukewarm	cold	hot	lukewarm	lukewarm	warm	hot	lukewarm	hot	hot	lukewarm	hot	cold	cold	cold	cold	hot	hot	cold	hot	cold	warm	warm	lukewarm	warm	hot	hot	cold	hot	warm	warm	lukewarm	hot	hot	cold	hot	hot	warm	lukewarm	hot	warm	warm	lukewarm	warm	cold	cold	hot	hot	warm	hot	warm	hot	lukewarm	lukewarm	cold	hot	hot	warm	cold	hot	lukewarm	warm	cold	lukewarm	cold	lukewarm	lukewarm	cold	lukewarm	warm	warm	cold	lukewarm
s73	98	38	49	13	36	88	12	80	28	1	55	85	52	43	83	48	44	60	4	56	89	34	27	19	73	18	60	60	51	83	87	5	68	76	51	13	51	86	59	24	100	50	61	76	67	87	82	40	81	53	80	10	95	91	16	37	42	17	65	17	5	89	28	3	2	42	77	2	50	76	2	21	58	55	34	77	1	0	16	27	26	78	59	96	54	62	12	60	77	93	100	66	29	48	37	11	94	56	9	21	lukewarm	warm	warm	hot	warm	lukewarm	lukewarm	lukewarm	hot	lukewarm	cold	lukewarm	hot	cold	warm	cold	lukewarm	hot	warm	warm	warm	cold	hot	warm	cold	lukewarm	lukewarm	hot	cold	warm	cold	hot	hot	lukewarm	lukewarm	warm	cold	cold	lukewarm	warm	cold	lukewarm	hot	warm	warm	lukewarm	warm	lukewarm	hot	hot	lukewarm	cold	warm	warm	warm	cold	warm	cold	hot	cold	hot	warm	warm	hot	lukewarm	warm	lukewarm	lukewarm	hot	cold	hot	warm	warm	warm	hot	lukewarm	cold	hot	hot	lukewarm	hot	hot	lukewarm	cold	cold	lukewarm	hot	hot	warm	hot	hot	warm	warm	warm	cold	lukewarm	cold	cold	hot	warm
s74	50	3	55	1	10	63	10	52	54	73	43	34	16	19	36	77	10	72	92	14	75	1	28	12	29	52	83	47	86	43	25	84	85	45	58	4	49	3	41	98	10	27	15	22	40	29	69	25	9	42	59	33	43	71	16	4	91	65	57	26	71	78	83	95	20	61	2	42	22	9	82	63	47	75	95	98	47	38	21	97	65	49	53	43	95	2	47	23	50	35	26	56	90	17	18	36	85	87	71	67	cold	lukewarm	lukewarm	cold	warm	hot	cold	hot	lukewarm	hot	lukewarm	warm	cold	hot	cold	warm	cold	lukewarm	lukewarm	hot	hot	lukewarm	cold	hot	warm	warm	lukewarm	lukewarm	cold	hot	lukewarm	lukewarm	warm	hot	hot	warm	hot	lukewarm	lukewarm	cold	warm	lukewarm	cold	lukewarm	cold	cold	lukewarm	hot	lukewarm	warm	warm	lukewarm	cold	lukewarm	hot	warm	cold	lukewarm	cold	lukewarm	cold	lukewarm	warm	hot	cold	lukewarm	warm	lukewarm	hot	lukewarm	lukewarm	cold	warm	cold	cold	warm	cold	hot	warm	lukewarm	hot	cold	hot	lukewarm	lukewarm	cold	warm	hot	lukewarm	warm	warm	lukewarm	warm	lukewarm	warm	cold	warm	lukewarm	lukewarm	warm
s75	96	10	83	42	44	18	32	38	52	14	8	28	55	66	52	50	13	77	100	10	61	74	13	80	63	18	63	95	49	22	16	62	79	34	51	23	92	83	94	23	82	77	70	22	49	55	4	10	60	1	11	37	50	70	96	6	67	70	53	6	47	3	66	21	19	90	100	19	86	87	45	41	64	4	0	31	78	81	13	64	88	17	23	31	23	37	87	31	91	40	19	1	31	41	29	94	19	86	21	34	lukewarm	hot	hot	hot	warm	lukewarm	hot	cold	cold	cold	warm	hot	hot	lukewarm	warm	warm	warm	warm	lukewarm	cold	cold	hot	hot	hot	cold	lukewarm	warm	cold	hot	cold	cold	warm	warm	warm	hot	cold	hot	hot	lukewarm	cold	cold	lukewarm	warm	hot	hot	hot	hot	warm	lukewarm	hot	warm	lukewarm	cold	warm	warm	cold	warm	cold	hot	hot	lukewarm	lukewarm	cold	lukewarm	hot	cold	cold	warm	cold	lukewarm	cold	hot	cold	cold	hot	hot	lukewarm	warm	hot	lukewarm	lukewarm	lukewarm	warm	warm	warm	lukewarm	cold	cold	cold	cold	lukewarm	hot	warm	hot	cold	lukewarm	cold	cold	lukewarm	hot
s76	23	74	35	40	35	88	90	24	76	72	21	17	67	64	26	30	80	98	29	0	11	52	34	56	98	55	32	72	72	28	92	9	89	32	94	45	29	65	61	73	31	83	34	27	90	19	6	36	16	64	23	42	13	81	77	18	38	82	78	78	76	43	2	84	100	10	75	60	13	48	4	37	70	8	33	47	27	95	8	22	14	47	91	42	57	56	53	65	71	43	67	53	87	4	31	74	11	40	40	88	lukewarm	warm	lukewarm	hot	warm	hot	lukewarm	warm	cold	lukewarm	warm	lukewarm	cold	warm	cold	warm	cold	warm	lukewarm	warm	hot	warm	warm	cold	lukewarm	cold	hot	lukewarm	cold	cold	cold	lukewarm	lukewarm	lukewarm	lukewarm	lukewarm	hot	lukewarm	warm	lukewarm	warm	warm	lukewarm	cold	lukewarm	warm	hot	lukewarm	cold	warm	lukewarm	cold	hot	warm	warm	warm	hot	hot	lukewarm	warm	cold	lukewarm	warm	lukewarm	lukewarm	lukewarm	cold	lukewarm	hot	cold	hot	hot	lukewarm	hot	hot	hot	warm	hot	lukewarm	cold	warm	lukewarm	lukewarm	cold	warm	cold	warm	lukewarm	cold	cold	cold	hot	lukewarm	warm	cold	cold	lukewarm	lukewarm	lukewarm	hot
s77	87	88	63	82	1	65	83	1	70	80	89	37	77	61	31	44	49	85	9	31	92	100	75	24	96	12	74	40	46	54	66	21	33	63	64	90	3	87	20	44	97	10	3	44	81	96	46	67	91	24	77	36	95	85	45	74	63	98	53	45	2	98	39	48	68	95	25	75	41	77	36	65	85	20	69	37	25	79	11	13	29	29	59	84	38	11	39	85	73	90	44	90	7	40	51	12	6	26	48	98	warm	cold	hot	cold	warm	hot	hot	cold	warm	hot	warm	hot	warm	hot	hot	hot	hot	warm	warm	lukewarm	hot	warm	warm	cold	warm	warm	cold	hot	warm	warm	hot	hot	cold	warm	hot	cold	hot	warm	warm	cold	lukewarm	hot	lukewarm	lukewarm	warm	lukewarm	warm	lukewarm	warm	warm	lukewarm	lukewarm	hot	hot	hot	cold	lukewarm	hot	warm	warm	hot	warm	cold	warm	lukewarm	warm	lukewarm	hot	lukewarm	lukewarm	cold	warm	warm	lukewarm	warm	lukewarm	warm	cold	cold	cold	cold	lukewarm	warm	warm	hot	hot	lukewarm	warm	cold	warm	lukewarm	hot	hot	warm	lukewarm	warm	hot	cold	lukewarm	lukewarm
s78	25	63	20	60	54	89	30	37	52	55	38	22	81	98	90	41	67	22	76	67	99	35	87	80	51	87	79	76	74	31	82	5	75	36	26	91	56	69	81	97	39	73	9	71	57	20	87	93	84	18	84	55	98	16	51	61	23	71	90	67	20	47	3	32	55	58	40	76	73	74	80	91	13	35	23	91	85	46	60	14	15	7	98	28	85	76	27	85	62	70	11	88	89	53	37	35	44	29	11	68	hot	warm	cold	hot	hot	cold	warm	cold	cold	hot	cold	lukewarm	hot	warm	cold	hot	warm	warm	hot	lukewarm	warm	lukewarm	warm	cold	lukewarm	cold	lukewarm	lukewarm	hot	lukewarm	cold	warm	cold	hot	cold	lukewarm	cold	warm	cold	warm	lukewarm	cold	hot	cold	lukewarm	lukewarm	lukewarm	hot	lukewarm	warm	warm	lukewarm	lukewarm	lukewarm	lukewarm	lukewarm	warm	hot	hot	cold	warm	cold	lukewarm	lukewarm	lukewarm	warm	warm	warm	cold	warm	cold	warm	warm	warm	cold	hot	lukewarm	warm	lukewarm	hot	hot	lukewarm	warm	cold	warm	cold	hot	lukewarm	lukewarm	hot	hot	lukewarm	hot	lukewarm	hot	warm	hot	cold	cold	warm
